"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","oli","eag","lag","rid","gnl","gnn","odl","odn","cll","cln","phl","phn","idt","ids","rss","eag.1","lag.1","cxi","ein","lin","fml","fmn","rst","eid","idf"
"1:2561","1589895","occ","224706","Beaniopsis n. gen. rajmahalensis n. sp.","3","405743","Beaniopsis rajmahalensis","3","405743","Late Jurassic",NA,"163.5","145","80975;80975","Beaniopsis","405742","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Beaniopsis","rajmahalensis","n. sp.",163.5,145,"41","41","41","Cycadaceae","54571","n. gen.",NA,NA
"1:2562","1590065","occ","224718","Bucklandia dichotoma n. sp.","3","454139","Bucklandia dichotoma","3","454139","Late Jurassic",NA,"163.5","145","80975;80975","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","dichotoma","n. sp.",163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2563","1590066","occ","224719","Bucklandia guptae n. sp.","3","454140","Bucklandia guptae","3","454140","Late Jurassic",NA,"163.5","145","80975;80975","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","guptae","n. sp.",163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2564","1590067","occ","224719","Bucklandia sahnii n. sp.","3","454141","Bucklandia sahnii","3","454141","Late Jurassic",NA,"163.5","145","80975;80975","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","sahnii","n. sp.",163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2565","1590068","occ","224718","Bucklandia sahnii","3","454141","Bucklandia sahnii","3","454141","Late Jurassic",NA,"163.5","145","80975;80975","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","sahnii",NA,163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2566","1590069","occ","224725","Bucklandia sp.","5","56267","Bucklandia","5","56267","Late Jurassic",NA,"163.5","145","80975;80975","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","sp.",NA,163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2567","1590070","occ","30133","Bucklandia sp.","5","56267","Bucklandia","5","56267","Late Jurassic",NA,"163.5","145","80975;80975","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","sp.",NA,163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2568","1590868","occ","224768","Anomozamites fissus","3","453952","Nilssonia fissa","3","419078","Late Jurassic",NA,"163.5","145","80975;80975","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Anomozamites","fissus",NA,163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2569","1591305","occ","224686","Cycadites rajmahalensis n. sp.","3","454634","Cycadites rajmahalensis","3","454634","Late Jurassic",NA,"163.5","145","80975;80975","Cycadites","407158","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadites","rajmahalensis","n. sp.",163.5,145,"41","41","41","Cycadaceae","54571",NA,NA,NA
"1:2570","1591306","occ","224706","Cycadites rajmahalensis","3","454634","Cycadites rajmahalensis","3","454634","Late Jurassic",NA,"163.5","145","80975;80975","Cycadites","407158","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadites","rajmahalensis",NA,163.5,145,"41","41","41","Cycadaceae","54571",NA,NA,NA
"1:2571","1591307","occ","224686","Cycadites blanfordianus n. sp.","3","454635","Cycadites rajmahalensis","3","454634","Late Jurassic",NA,"163.5","145","80975;80975","Cycadites","407158","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadites","blanfordianus","n. sp.",163.5,145,"41","41","41","Cycadaceae","54571",NA,NA,NA
"1:2572","1591308","occ","224686","Cycadites conferta n. sp.","3","454636","Cycadites rajmahalensis","3","454634","Late Jurassic",NA,"163.5","145","80975;80975","Cycadites","407158","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadites","conferta","n. sp.",163.5,145,"41","41","41","Cycadaceae","54571",NA,NA,NA
"1:2573","1591309","occ","224689","Cycadites conferta","3","454636","Cycadites rajmahalensis","3","454634","Late Jurassic",NA,"163.5","145","80975;80975","Cycadites","407158","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadites","conferta",NA,163.5,145,"41","41","41","Cycadaceae","54571",NA,NA,NA
"1:2574","1591310","occ","30145","Cycadites ? sp.","5","407158","Cycadites","5","407158","Sakmarian",NA,"295.5","290.1","80975;80975","Cycadites","407158","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadites","sp.",NA,295.5,290.1,"150","150","150","Cycadaceae","54571","?",NA,NA
"1:2575","1594234","occ","224606","Gymnovulites sp.","5","455852","Gymnovulites","5","455852","Paleogene",NA,"66","23.03","80975;80975","Gymnovulites","455852","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Gymnovulites","sp.",NA,66,23.03,"26","26","26",NA,NA,NA,NA,NA
"1:2576","1595680","occ","224686","Nilssonia bindrabunensis n. sp.","3","456392","Nilssonia bindrabunensis","3","456392","Late Jurassic",NA,"163.5","145","80975;80975","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","bindrabunensis","n. sp.",163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2577","1595686","occ","224686","Pterophyllum crassum n. sp.","3","456394","Nilssonia crassum","3","456395","Late Jurassic",NA,"163.5","145","80975;80975","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pterophyllum","crassum","n. sp.",163.5,145,"41","41","41",NA,NA,NA,NA,NA
"1:2578","1595688","occ","225578","Pterophyllum distans n. sp.","3","456397","Nilssonia distans","3","456398","Late Jurassic",NA,"163.5","145","80975;80975","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pterophyllum","distans","n. sp.",163.5,145,"41","41","41",NA,NA,NA,NA,NA
